symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TNF	0.6282651980197735	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9915353059531367	No data	No data	No data	No data	No data	No data	0.8382647732835755	No data	No data	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
PTGS2	0.6089664189088445	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9955664152962812	No data	No data	No data	No data	No data	No data	0.12274206199427934	No data	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747515556027039	0	-1	No data	-0.027317500000000015	0.5	0
PTGS1	0.6059782134383637	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9928830362744396	No data	No data	No data	No data	No data	No data	0.07810222052649297	No data	No data	1	0	0	1	1	0	0.48247	1	-0.15784538445509477	-0.9397369417042986	0	-1	No data	-0.040067499999999964	0.5	0
IL17A	0.5968356033923082	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.96213521385452	No data	No data	No data	No data	No data	No data	0.39228068294443946	No data	No data	1	0	1	1	1	0	0	No data	0.2833923734111272	-0.8363396721742761	0	No data	No data	0	0.5	1
NR3C1	0.5538507150826188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.911042370708201	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
IL23R	0.5328100887599903	0.8649035848822237	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2305710641054586	No data	No data	No data	1	0	0	1	0	0	No data	-0.3694519691602417	-0.25968950302935195	0	-1	No data	0	0.5	0.5
NRSN1	0.5304388188896905	0.8725315792087298	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.6153849999999998	No data	0.6148155865805376	-0.2024885471391505	0	No data	No data	0	0.75	0.5
ERAP1	0.5115747907473471	0.830300694696772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.22401981243943095	No data	No data	0.5	1	1	1	1	1	0.2189149999999998	No data	0.27255678266305483	-0.6654538516491006	0	No data	No data	0	-1	-1
ATP4A	0.49256781743811084	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8071970034954302	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	1	1	0	0	1	0	0.8985500000000002	No data	-0.2001458637216087	-0.29239804983791945	0	No data	No data	-0.10627999999999993	1	0.5
JAK2	0.4595269581473936	0.5309344392005358	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6211588257174374	No data	No data	No data	No data	No data	No data	0.08975327974279428	No data	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
