Gene	ScoreGDA
ERAP1	1.00
IL23R	1.00
HLA-B	1.00
PSMB9	0.90
IL17A	0.85
TAP1	0.80
TAP2	0.80
ANTXR2	0.75
RUNX3	0.75
IL12B	0.75
HLA-DRB1	0.75
TNFRSF1B	0.75
HLA-DQB1	0.75
HLA-DQA1	0.75
TNF	0.70
ANO6	0.70
PTGER4	0.70
CARD9	0.70
IL1R2	0.65
TBKBP1	0.65
JAK2	0.65
IRAK1	0.65
MTHFR	0.65
ACE	0.65
KDM5A	0.65
ASPN	0.55
CYP1A1	0.55
CRP	0.50
HLA-C	0.50
IL6	0.50
ERAP2	0.50
MRAP	0.45
IL23A	0.45
IFNG	0.45
IL10	0.45
TNFRSF1A	0.45
IL37	0.45
MICA	0.45
VEGFA	0.45
IGHG1	0.45
IL1B	0.40
IL1A	0.40
MMP3	0.40
STAT3	0.40
TLR4	0.40
ALPL	0.40
TGFB1	0.40
SOST	0.35
WNT3A	0.35
WNT3	0.35
WNT2	0.35
WNT5A	0.35
WNT6	0.35
WNT7A	0.35
WNT4	0.35
WNT1	0.35
NOD2	0.35
HSPA1L	0.35
HLA-E	0.35
HSPA1B	0.35
LTA	0.35
AIF1	0.35
ALB	0.35
KIF21B	0.35
MPIG6B	0.35
TGFB2	0.35
HCP5	0.35
PTGS2	0.35
IL6R	0.35
DKK1	0.30
TNFRSF11B	0.30
TNFSF11	0.30
BGLAP	0.30
PDCD1	0.30
KIR3DL1	0.30
CD8A	0.30
MIR146A	0.30
NFKB1	0.30
IL33	0.30
CCL2	0.30
CD4	0.30
CD40LG	0.30
COX2	0.30
DNMT1	0.30
FOXP3	0.30
GPSM3	0.30
TYK2	0.30
MIR155	0.30
LILRA3	0.30
LGALS3	0.30
IL22	0.30
IL2	0.30
HBA1	0.30
HBA2	0.30
HBB	0.30
HLA-DQA2	0.30
HP	0.30
HAND2	0.30
INS	0.30
ADIPOQ	0.25
AGER	0.25
AHR	0.25
ANKH	0.25
ARSA	0.25
ATG5	0.25
CD226	0.25
CD2AP	0.25
CFB	0.25
CXCL12	0.25
VIP	0.25
VARS1	0.25
TNXB	0.25
TNFSF15	0.25
TNFAIP3	0.25
TIMP3	0.25
TBX21	0.25
TAPBP	0.25
STAT6	0.25
RELA	0.25
HLA-A	0.25
HLA-DMB	0.25
HLA-DOA	0.25
POLR1HASP	0.25
MICA-AS1	0.25
IL2RA	0.25
HLA-G	0.25
HLA-DPB1	0.25
HLA-DPA1	0.25
PDGFB	0.25
MICB	0.25
PSMB8	0.25
IGFBP3	0.25
NCR3	0.25
LINC01149	0.25
HCG9	0.25
CXCL8	0.25
DUSP4	0.25
DUSP22	0.25
MEFV	0.25
ETS1	0.25
NXF1	0.25
NGF	0.25
IL1R1	0.25
NLRP3	0.25
MALT1	0.25
MTOR	0.25
MMP9	0.25
PTPN22	0.25
PON1	0.25
ADA	0.20
ADORA2A	0.20
AHSG	0.20
APOA1	0.20
AR	0.20
ATG12	0.20
B3GNT2	0.20
BECN1	0.20
BMP2	0.20
BMP4	0.20
XBP1	0.20
VEGFC	0.20
VDR	0.20
USO1	0.20
TXNDC5	0.20
TTR	0.20
TSHR	0.20
TRBV20OR9-2	0.20
TRAF5	0.20
TONSL	0.20
TNFRSF10A	0.20
STAT4	0.20
STAT1	0.20
ST3GAL5	0.20
SPARC	0.20
SNAPC4	0.20
SERPINA1	0.20
SEMA6C	0.20
SEMA6A	0.20
IGHA1	0.20
CTLA4	0.20
IFNA1	0.20
ITGA7	0.20
CHRNA3	0.20
SAA1	0.20
IL17RA	0.20
CA1	0.20
CALCA	0.20
SEMA3A	0.20
SEMA3C	0.20
SEMA3E	0.20
SEMA3F	0.20
SEMA4A	0.20
SEMA4B	0.20
SEMA4C	0.20
SEMA4D	0.20
HSPA5	0.20
NDUFA5	0.20
SEMA5B	0.20
NDUFA6	0.20
S100A8	0.20
CTNNB1	0.20
FLNB	0.20
BMP7	0.20
FCGR3B	0.20
HMGB1	0.20
MBL2	0.20
OR8B8	0.20
BMPR2	0.20
COX7B	0.20
FCGR2B	0.20
RBM45	0.20
PPARGC1B	0.20
NFKBIA	0.20
IL12RB2	0.20
LILRB3	0.20
SOCS3	0.20
SOCS1	0.20
SEC14L2	0.20
CEL	0.20
CPQ	0.20
CSF2	0.20
MYC	0.20
CISH	0.20
FCGR3A	0.20
CCL7	0.20
CCR7	0.20
CD14	0.20
CD247	0.20
CD276	0.20
CD28	0.20
CD38	0.20
CD74	0.20
CDR3	0.20
PDCD10	0.20
PIK3CA	0.20
ICAM1	0.20
FCRL5	0.20
CREG1	0.20
CXCR4	0.20
CXCL10	0.20
CXCL16	0.20
CXCR6	0.20
CP	0.20
FCRL4	0.20
HAVCR2	0.20
FCRL3	0.20
PCSK9	0.20
