symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CARD14	0.8283549260843273	No data	No data	0.8915681567196835	0.9190679877429972	0.7599134970145264	0.607930797611621	0.9549947196932794	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.763216037092989	0.08900706950439213	0.5943815251311042	No data	0	0	0	0	0	0	No data	0.10762658887268173	-0.7878314850768972	0	No data	No data	0	0.5	0
IL36RN	0.8160791438970336	0.579045464638544	No data	0.91427367901977	0.9190679877429972	0.006079307976116211	0.607930797611621	0.865457038266544	0.865457038266544	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.456416305561661	0.26473540144884855	0.4792858860503619	No data	0	1	0	0	0	0.5483849999999997	No data	0.9195665763700771	-0.21719161075687693	0	No data	No data	0	0.75	0.5
IL12B	0.7760555663375248	0.9156889155831561	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9722472509375855	No data	No data	No data	No data	No data	No data	0.4019748743623038	0.35130576934316143	No data	1	0	1	0	0	0	0	No data	0.01083559074807261	-0.7719200804355791	0	No data	No data	No data	0.5	1
TYK2	0.7269150737634387	0.9349675177774369	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9537051350495958	No data	No data	No data	No data	No data	No data	0.37228882187863127	No data	No data	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.9014193774316098	0	No data	No data	0	-1	0
TRAF3IP2	0.7054548948675634	0.9392103820322417	No data	0.5555947107239007	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5995126086150767	No data	No data	0.75	0	0	0	0	0	0	No data	0.08616378412169201	-0.8093433439281369	0	-1	No data	No data	-1	-1
IL23A	0.6667066988944188	0.34346994992604873	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9885662023449989	No data	No data	No data	No data	No data	No data	0.9348287653345548	0.11793857473665449	No data	1	0	1	0	0	0	0	No data	-0.24453011043967499	-0.7944718512949752	0	No data	No data	No data	1	0.5
IL17RA	0.6587706732451891	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9699838217412077	No data	No data	No data	No data	No data	No data	0.32652106490377514	No data	No data	1	0	1	0	0	0	0	No data	-0.3426755574077933	-0.7891548734562925	0	No data	No data	0	0.5	-1
TNF	0.6393987822740157	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9917707382722585	No data	No data	No data	No data	No data	No data	0.9872835211045874	No data	0.4782388941211419	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
IL17A	0.6371410189566968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9894231597876175	No data	No data	No data	No data	No data	No data	0.9678099913076472	0.460572153162301	No data	1	0	1	1	1	0	0	No data	0.2833923734111272	-0.8363396721742761	0	No data	No data	0	0.5	1
PDE4A	0.6335283317644641	0.22024146470024297	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.34743167521657775	0.03474702295677245	No data	1	1	0	1	1	1	0.03498999999999981	0	-0.7453636174202959	No data	0	-1	No data	0	-1	-1
VDR	0.6286800758899201	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9927599191502705	No data	No data	No data	No data	No data	No data	0.8274213612094511	No data	No data	1	0	0	1	1	1	0.4028100000000002	0	-0.038653886226297174	-0.9596415368969071	0	-1	No data	0	1	0
AHR	0.6219653660768886	0.31682519823330507	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9252478927314127	No data	No data	No data	No data	No data	No data	0.8384223216289866	No data	No data	1	0	0	1	1	0	0	No data	-0.9383204834340487	-0.9813428898284817	0	-1	No data	0	-1	-1
AP1S3	0.617188068968007	No data	No data	0.309115923618909	No data	0.607930797611621	No data	No data	0.8274613634158176	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11497855150159879	No data	No data	No data	0	0	0	0	0	0.7727249999999998	No data	0.2067097311939987	-0.022060910089015118	0	No data	No data	-0.3019475	0.5	0
IFIH1	0.617106185517548	0.9010925725903873	0.416565241972601	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3651204062717884	0.13961172000071936	No data	No data	0	0	0	0	0	0	No data	0.6482600541779537	-0.869157213342554	0	No data	No data	0	0.5	-1
NR3C1	0.6093768922526535	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.994346905866608	No data	No data	No data	No data	No data	No data	0.16063620022877478	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
DHFR	0.5994906952929696	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9821490710475367	No data	No data	No data	No data	No data	No data	0.045355568220923355	0.05919400010818598	No data	1	0	0	1	1	1	0.46524	0	-0.032090018753907046	-0.8860725421928369	-1	-1	No data	-0.7860949999999999	-1	-1
RARA	0.5988823556795987	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.07411154627436843	No data	No data	1	0	0	1	1	1	0.91342	0	-0.7160866847259846	-0.7673055439722722	0	-1	No data	-0.32359250000000017	-1	-1
RARB	0.5986571772548869	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9814104227843666	No data	No data	No data	No data	No data	No data	0.0667035180712751	No data	No data	1	0	0	1	1	0	0.9107149999999997	0	-0.9656178370493853	-0.7108312426076324	0	-1	No data	-0.38058000000000014	-1	0
PDE4D	0.5973779660103067	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9788905921255391	No data	No data	No data	No data	No data	No data	0.07501602399069257	No data	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.8817461971244009	-0.7179667329277475	0	-1	No data	-0.09146999999999998	0.5	0
