Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	 GeneCards Link
CARD14	Caspase Recruitment Domain Family Member 14	Protein Coding	Q9BXL6	54	GC17P155735	90.96447754	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD14
IL36RN	Interleukin 36 Receptor Antagonist	Protein Coding	Q9UBH0	54	GC02P154110	75.345047	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36RN
HLA-C	"Major Histocompatibility Complex, Class I, C"	Protein Coding	P10321	57	GC06M106435	41.69141388	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C
AP1S3	Adaptor Related Protein Complex 1 Subunit Sigma 3	Protein Coding	Q96PC3	48	GC02M223667	40.56037903	https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1S3
SGSH	N-Sulfoglucosamine Sulfohydrolase	Protein Coding	P51688	60	GC17M098179	38.15007019	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SGSH
TNF	Tumor Necrosis Factor	Protein Coding	P01375	65	GC06P181893	36.10907364	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
PSORS1C3	Psoriasis Susceptibility 1 Candidate 3	RNA Gene		25	GC06M106428	33.05728149	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS1C3
IL23R	Interleukin 23 Receptor	Protein Coding	Q5VWK5	57	GC01P067138	30.39059067	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23R
PRINS	Psoriasis Associated Non-Protein Coding RNA Induced By Stress	RNA Gene		16	GC10U900902	29.69368172	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRINS
TRAF3IP2	TRAF3 Interacting Protein 2	Protein Coding	O43734	56	GC06M111555	28.92658234	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3IP2
PSORS5	Psoriasis Susceptibility 5	Genetic Locus		8	GC03U990180	26.58440018	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS5
MIR146A	MicroRNA 146a	RNA Gene		31	GC05P160485	25.69375038	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A
PSORS4	Psoriasis Susceptibility 4	Genetic Locus		7	GC01U990227	25.40716171	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS4
IL17RA	Interleukin 17 Receptor A	Protein Coding	Q96F46	60	GC22P091443	25.27894402	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA
PSORS1C2	Psoriasis Susceptibility 1 Candidate 2	Protein Coding	Q9UIG4	40	GC06M031137	25.01015854	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS1C2
PSORS6	Psoriasis Susceptibility 6	Genetic Locus		7	GC19U990233	24.86972237	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS6
PSORS9	Psoriasis Susceptibility 9	Genetic Locus		7	GC04U900068	23.93192482	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS9
PSORS11	Psoriasis Susceptibility 11	Genetic Locus		5	GC05U901084	23.91757584	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS11
PSORS3	Psoriasis Susceptibility 3	Genetic Locus		6	GC04U990060	23.86747932	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS3
PSORS1C1	Psoriasis Susceptibility 1 Candidate 1	Protein Coding	Q9UIG5	41	GC06P031114	23.63904953	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS1C1
PSORS10	Psoriasis Susceptibility 10	Genetic Locus		6	GC18U900225	23.54980659	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS10
PSORS8	Psoriasis Susceptibility 8	Genetic Locus		6	GC16U990237	23.48371887	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSORS8
IL17A	Interleukin 17A	Protein Coding	Q16552	55	GC06P052186	22.7358799	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A
NOD2	Nucleotide Binding Oligomerization Domain Containing 2	Protein Coding	Q9HC29	61	GC16P050693	21.46905136	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2
TRAF3IP2-AS1	TRAF3IP2 Antisense RNA 1	RNA Gene		25	GC06P111483	21.2501545	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAF3IP2-AS1
LTA	Lymphotoxin Alpha	Protein Coding	P01374	55	GC06P181891	20.99800873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA
CDSN	Corneodesmosin	Protein Coding	Q15517	53	GC06M031115	20.98768806	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDSN
LOC126862662	MED14-Independent Group 3 Enhancer GRCh37_chr17:78178385-78179584	Functional Element		7	GC17P157156	20.01802444	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC126862662
MIR146B	MicroRNA 146b	RNA Gene		29	GC10P102436	19.17111588	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146B
MIR21	MicroRNA 21	RNA Gene		33	GC17P059841	19.06282997	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21
MIR22	MicroRNA 22	RNA Gene		31	GC17M001713	18.18133163	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22
MIR31	MicroRNA 31	RNA Gene		29	GC09M022327	18.15422249	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR31
MIR142	MicroRNA 142	RNA Gene		30	GC17M058331	17.528162	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR142
MIR17	MicroRNA 17	RNA Gene		28	GC13P091350	17.33107376	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17
MIR203A	MicroRNA 203a	RNA Gene		28	GC14P120414	17.28735161	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR203A
CCHCR1	Coiled-Coil Alpha-Helical Rod Protein 1	Protein Coding	Q8TD31	49	GC06M106427	17.16583252	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCHCR1
MIR197	MicroRNA 197	RNA Gene		28	GC01P109598	17.10445786	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197
MIR30E	MicroRNA 30e	RNA Gene		31	GC01P040754	16.97036552	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30E
MIR20A	MicroRNA 20a	RNA Gene		29	GC13P091744	16.76394081	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR20A
HLA-B	"Major Histocompatibility Complex, Class I, B"	Protein Coding	P01889	59	GC06M106436	16.73034477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B
MIR381	MicroRNA 381	RNA Gene		27	GC14P121372	16.67636299	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR381
MIR200A	MicroRNA 200a	RNA Gene		29	GC01P074920	16.582901	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200A
MIR10A	MicroRNA 10a	RNA Gene		30	GC17M048579	16.55491638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR10A
