Gene Symbol	Description	Category	Uniprot ID	Gifts	GC Id	Relevance score	GeneCards Link
HLA-B	Major Histocompatibility Complex, Class I, B	Protein Coding	P01889	59	GC06M106436	80.82476044	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B
USP50	Ubiquitin Specific Peptidase 50	Protein Coding	Q70EL3	42	GC15M050493	36.89982986	https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP50
LIN54	Lin-54 DREAM MuvB Core Complex Component	Protein Coding	Q6MZP7	47	GC04M082909	35.82539749	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIN54
ZNF354A	Zinc Finger Protein 354A	Protein Coding	O60765	47	GC05M178711	35.82539749	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF354A
FRG2C	FSHD Region Gene 2 Family Member C	Protein Coding	A6NGY1	34	GC03P075664	35.82539749	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRG2C
TNF	Tumor Necrosis Factor	Protein Coding	P01375	65	GC06P181893	34.83541489	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF
ERAP1	Endoplasmic Reticulum Aminopeptidase 1	Protein Coding	Q9NZ08	57	GC05M096760	26.11514282	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP1
IL23R	Interleukin 23 Receptor	Protein Coding	Q5VWK5	57	GC01P067138	22.47342873	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL23R
CRP	C-Reactive Protein	Protein Coding	P02741	58	GC01M167583	20.84785652	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP
NOD2	Nucleotide Binding Oligomerization Domain Containing 2	Protein Coding	Q9HC29	61	GC16P050693	20.43558121	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2
ERAP2	Endoplasmic Reticulum Aminopeptidase 2	Protein Coding	Q6P179	51	GC05P096875	18.61829567	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP2
IL17A	Interleukin 17A	Protein Coding	Q16552	55	GC06P052186	17.60671234	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A
IL6	Interleukin 6	Protein Coding	P05231	64	GC07P022725	16.92818642	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6
TAP1	Transporter 1, ATP Binding Cassette Subfamily B Member	Protein Coding	Q03518	61	GC06M106547	16.44598961	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAP1
TAP2	Transporter 2, ATP Binding Cassette Subfamily B Member	Protein Coding	Q03519	58	GC06M032821	16.44598961	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAP2
MMP3	Matrix Metallopeptidase 3	Protein Coding	P08254	62	GC11M102835	16.0831356	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3
IL1B	Interleukin 1 Beta	Protein Coding	P01584	60	GC02M112829	15.68129826	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B
TNFRSF1A	TNF Receptor Superfamily Member 1A	Protein Coding	P19438	62	GC12M006328	15.48295021	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A
TLR4	Toll Like Receptor 4	Protein Coding	O00206	64	GC09P117704	15.39903641	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4
IL1RN	Interleukin 1 Receptor Antagonist	Protein Coding	P18510	62	GC02P154111	15.31134987	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN
TNFRSF11B	TNF Receptor Superfamily Member 11b	Protein Coding	O00300	60	GC08M118923	14.8665638	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B
IL1A	Interleukin 1 Alpha	Protein Coding	P01583	58	GC02M112773	14.19524574	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
TNFRSF1B	TNF Receptor Superfamily Member 1B	Protein Coding	P20333	61	GC01P075466	13.35429192	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B
IFNG	Interferon Gamma	Protein Coding	P01579	63	GC12M068154	13.25667477	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG
TNFSF11	TNF Superfamily Member 11	Protein Coding	O14788	62	GC13P042562	13.10240936	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11
PTH	Parathyroid Hormone	Protein Coding	P01270	58	GC11M013492	13.08292389	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTH
MICA	MHC Class I Polypeptide-Related Sequence A	Protein Coding	Q29983	51	GC06P031399	12.84589481	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICA
IL17F	Interleukin 17F	Protein Coding	Q96PD4	54	GC06M106847	12.75009537	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17F
IL17RA	Interleukin 17 Receptor A	Protein Coding	Q96F46	60	GC22P091443	12.49482536	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17RA
PSMB9	Proteasome 20S Subunit Beta 9	Protein Coding	P28065	59	GC06P181924	12.45165634	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMB9
IL1R1	Interleukin 1 Receptor Type 1	Protein Coding	P14778	60	GC02P102136	12.43734646	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1
